onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
71685	100	0	stimuli\animals\dog\animal_dog10.jpg             	1	1	1	animal_dog10.jpg     	animals  	0	dog       	11	dog10       	119	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	89.88490299973641	89.984881399665	0.0999783999286592
71835	100	1	stimuli\movNat\river\mn_river01.jpg              	1	1	1	mn_river01.jpg       	movNat   	3	river     	29	river01     	290	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	90.034918199759	90.1348851998337	0.0999670000746846
71985	100	2	stimuli\animals\horse\animal_horse01.jpg         	1	1	1	animal_horse01.jpg   	animals  	0	horse     	20	horse01     	200	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	90.18489350005991	90.2848827997222	0.0999892996624112
72135	100	3	stimuli\plant2\fern\plant_fern01.jpg             	1	1	1	plant_fern01.jpg     	plant2   	7	fern      	14	fern01      	140	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	90.3348916000687	90.43488219985741	0.0999905997887253
72285	100	4	stimuli\nonmovNat\rock\nmn_rock10.jpg            	1	1	1	nmn_rock10.jpg       	nonmovNat	5	rock      	30	rock10      	309	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	90.4848886998371	90.58487679995599	0.0999881001189351
72435	100	5	stimuli\plant2\clover\plant_clover02.jpg         	1	1	1	plant_clover02.jpg   	plant2   	7	clover    	9	clover02    	91	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	90.63488660007721	90.73487759986891	0.0999909997917711
72585	100	6	stimuli\movNat\fire\mn_fire09.jpg                	1	1	1	mn_fire09.jpg        	movNat   	3	fire      	15	fire09      	158	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	90.7848878996447	90.8848742996342	0.0999863999895751
72735	100	7	stimuli\animals2\whale\animal_whale09.jpg        	1	1	1	animal_whale09.jpg   	animals2 	1	whale     	39	whale09     	398	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	90.9348845998757	91.03487430000679	0.0999897001311183
72885	100	8	stimuli\animals\cat\animal_cat05.jpg             	1	1	1	animal_cat05.jpg     	animals  	0	cat       	6	cat05       	64	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	91.08520249975841	91.1848917999305	0.0996893001720309
73035	100	9	stimuli\plant2\clover\plant_clover03.jpg         	1	1	1	plant_clover03.jpg   	plant2   	7	clover    	9	clover03    	92	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	91.2348787998781	91.33486949978399	0.0999906999059021
