onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
73725	100	0	stimuli\animals\dog\animal_dog01.jpg             	1	1	1	animal_dog01.jpg     	animals  	0	dog       	11	dog01       	110	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	86.4418150000274	86.54170050006358	0.09988550003618
73875	100	1	stimuli\animals\eagle\animal_eagle03.jpg         	1	1	1	animal_eagle03.jpg   	animals  	0	eagle     	13	eagle03     	132	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	86.59182589990091	86.69168239994909	0.0998565000481903
74025	100	2	stimuli\movArt\helicopter\ma_helicopter04.jpg    	1	1	1	ma_helicopter04.jpg  	movArt   	2	helicopter	19	helicopter04	193	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	86.74179239990191	86.8417030998971	0.0999106999952346
74175	100	3	stimuli\nonmovArt\bench\nma_bench08.jpg          	1	1	1	nma_bench08.jpg      	nonmovArt	4	bench     	1	bench08     	17	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	86.8917863999959	86.9916793000884	0.0998929000925272
74325	100	4	stimuli\animals2\whale\animal_whale05.jpg        	1	1	1	animal_whale05.jpg   	animals2 	1	whale     	39	whale05     	394	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	87.04178970004429	87.141685300041	0.09989559999667098
74475	100	5	stimuli\animals\cat\animal_cat03.jpg             	1	1	1	animal_cat03.jpg     	animals  	0	cat       	6	cat03       	62	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	87.19179029995578	87.2916806000285	0.0998903000727296
74625	100	6	stimuli\plant2\clover\plant_clover02.jpg         	1	1	1	plant_clover02.jpg   	plant2   	7	clover    	9	clover02    	91	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	87.3417708999477	87.44167990004641	0.0999090000987052
74775	100	7	stimuli\plant2\clover\plant_clover01.jpg         	1	1	1	plant_clover01.jpg   	plant2   	7	clover    	9	clover01    	90	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	87.4917798000388	87.5916730999015	0.0998932998627424
74925	100	8	stimuli\animals2\tiger\animal_tiger09.jpg        	1	1	1	animal_tiger09.jpg   	animals2 	1	tiger     	33	tiger09     	338	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	87.642066200031	87.7416827999987	0.0996165999677032
75075	100	9	stimuli\movNat\waves\mn_waves08.jpg              	1	1	1	mn_waves08.jpg       	movNat   	3	waves     	38	waves08     	387	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	87.7917929000687	87.8916805998888	0.0998876998201012
