onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
47557	100	0	stimuli\animals2\bee\animal_bee06.jpg            	1	1	1	animal_bee06.jpg     	animals2 	1	bee       	0	bee06       	5	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	85.7027309001423	85.802719600033	0.0999886998906731
47707	100	1	stimuli\nonmovArt\mug\nma_mug10.jpg              	1	1	1	nma_mug10.jpg        	nonmovArt	4	mug       	26	mug10       	269	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	85.8527645000722	85.9527509000618	0.0999863999895751
47857	100	2	stimuli\movNat\fire\mn_fire03.jpg                	1	1	1	mn_fire03.jpg        	movNat   	3	fire      	15	fire03      	152	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	86.00277970009479	86.1027287000324	0.0999489999376237
48007	100	3	stimuli\plant2\lemontree\plant_lemontree05.jpg   	1	1	1	plant_lemontree05.jpg	plant2   	7	lemontree 	22	lemontree05 	224	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	86.1527360000182	86.25272400002	0.0999880000017583
48157	100	4	stimuli\animals\cat\animal_cat09.jpg             	1	1	1	animal_cat09.jpg     	animals  	0	cat       	6	cat09       	68	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	86.3027353000362	86.40272130002269	0.0999859999865293
48307	100	5	stimuli\animals\cat\animal_cat03.jpg             	1	1	1	animal_cat03.jpg     	animals  	0	cat       	6	cat03       	62	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	86.4527307001408	86.5527176000178	0.099986899876967
48457	100	6	stimuli\movArt\boat\ma_boat08.jpg                	1	1	1	ma_boat08.jpg        	movArt   	2	boat      	2	boat08      	27	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	86.60272710002029	86.7027154001407	0.099988300120458
48607	100	7	stimuli\movNat\hotspring\mn_hotspring02.jpg      	1	1	1	mn_hotspring02.jpg   	movNat   	3	hotspring 	21	hotspring02 	211	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	86.75272590015079	86.85271660005671	0.0999906999059021
48758	100	8	stimuli\animals\dolphin\animal_dolphin02.jpg     	1	1	1	animal_dolphin02.jpg 	animals  	0	dolphin   	12	dolphin02   	121	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	86.9030824000947	87.0027089000214	0.0996264999266714
48907	100	9	stimuli\nonmovArt\bench\nma_bench02.jpg          	1	1	1	nma_bench02.jpg      	nonmovArt	4	bench     	1	bench02     	11	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	87.05271590012129	87.1527027001139	0.0999867999926209
49057	100	10	stimuli\animals\cat\animal_cat10.jpg             	1	1	1	animal_cat10.jpg     	animals  	0	cat       	6	cat10       	69	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	87.20271430001591	87.302696299972	0.0999819999560713
49207	100	11	stimuli\nonmovNat\cliff\nmn_cliff10.jpg          	1	1	1	nmn_cliff10.jpg      	nonmovNat	5	cliff     	7	cliff10     	79	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	87.3527134000324	87.4526953001041	0.0999819000717252
49357	100	12	stimuli\plant2\clover\plant_clover08.jpg         	1	1	1	plant_clover08.jpg   	plant2   	7	clover    	9	clover08    	97	alive    	1	still	0	natural 	1	n	1	0    	 	0.0	0	87.5027050001081	87.60270150005822	0.0999964999500662
49507	100	13	stimuli\animals\horse\animal_horse10.jpg         	1	1	1	animal_horse10.jpg   	animals  	0	horse     	20	horse10     	209	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	87.65270560001949	87.75271370005791	0.100008100038394
49657	100	14	stimuli\animals2\tiger\animal_tiger10.jpg        	1	1	1	animal_tiger10.jpg   	animals2 	1	tiger     	33	tiger10     	339	alive    	1	moves	1	natural 	1	n	0	1    	f	0.292155900038779	1	87.8027197001502	87.90269280015491	0.0999731000047177
49807	100	15	stimuli\plant\vine\plant_vine04.jpg              	1	1	1	plant_vine04.jpg     	plant    	6	vine      	36	vine04      	363	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	87.95270190015431	88.05268950015311	0.0999875999987125
49957	100	16	stimuli\nonmovNat\crystal\nmn_crystal03.jpg      	1	1	1	nmn_crystal03.jpg    	nonmovNat	5	crystal   	10	crystal03   	102	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	88.1026978001464	88.2026885000523	0.0999906999059021
50107	100	17	stimuli\plant\vine\plant_vine09.jpg              	1	1	1	plant_vine09.jpg     	plant    	6	vine      	36	vine09      	368	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	88.25270200008529	88.35269249998959	0.0999904999043792
50257	100	18	stimuli\nonmovNat\crystal\nmn_crystal09.jpg      	1	1	1	nmn_crystal09.jpg    	nonmovNat	5	crystal   	10	crystal09   	108	not_alive	0	still	0	natural 	1	n	1	0    	 	0.0	0	88.40270420000891	88.5026855999604	0.0999813999515026
50407	100	19	stimuli\plant2\moss\plant_moss09.jpg             	1	1	1	plant_moss09.jpg     	plant2   	7	moss      	25	moss09      	258	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	88.55270190001471	88.6526864999905	0.099984599975869
50557	100	20	stimuli\plant2\fern\plant_fern06.jpg             	1	1	1	plant_fern06.jpg     	plant2   	7	fern      	14	fern06      	145	alive    	1	still	0	natural 	1	n	1	1    	f	0.0920124999247491	1	88.70269790012391	88.8026835001074	0.0999855999834835
50707	100	21	stimuli\nonmovNat\cliff\nmn_cliff04.jpg          	1	1	1	nmn_cliff04.jpg      	nonmovNat	5	cliff     	7	cliff04     	73	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	88.852695700014	88.952681099996	0.0999853999819606
50857	100	22	stimuli\nonmovNat\sand\nmn_sand06.jpg            	1	1	1	nmn_sand06.jpg       	nonmovNat	5	sand      	31	sand06      	315	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	89.00269440002741	89.10268490016459	0.0999905001372098
