onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
85086	100	0	stimuli\animals\horse\animal_horse06.jpg         	1	1	1	animal_horse06.jpg   	animals  	0	horse     	20	horse06     	205	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	107.22281840000001	107.3227294	0.0999110000002474
85236	100	1	stimuli\nonmovNat\shell\nmn_shell09.jpg          	1	1	1	nmn_shell09.jpg      	nonmovNat	5	shell     	32	shell09     	328	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	107.37283789999901	107.47272269999999	0.0998848000008365
85386	100	2	stimuli\movArt\helicopter\ma_helicopter06.jpg    	1	1	1	ma_helicopter06.jpg  	movArt   	2	helicopter	19	helicopter06	195	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	107.5227868	107.6227153	0.0999284999998053
85536	100	3	stimuli\movNat\waterfall\mn_waterfall02.jpg      	1	1	1	mn_waterfall02.jpg   	movNat   	3	waterfall 	37	waterfall02 	371	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	107.6728137	107.772733	0.0999192999997831
85686	100	4	stimuli\nonmovArt\bench\nma_bench05.jpg          	1	1	1	nma_bench05.jpg      	nonmovArt	4	bench     	1	bench05     	14	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	107.8228114	107.922713299999	0.0999018999991676
85836	100	5	stimuli\animals2\whale\animal_whale10.jpg        	1	1	1	animal_whale10.jpg   	animals2 	1	whale     	39	whale10     	399	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	107.9728275	108.07272649999999	0.09989899999982302
85986	100	6	stimuli\movArt\car\ma_car09.jpg                  	1	1	1	ma_car09.jpg         	movArt   	2	car       	5	car09       	58	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	108.1227981	108.22268899999999	0.0998908999999912
86136	100	7	stimuli\animals\eagle\animal_eagle10.jpg         	1	1	1	animal_eagle10.jpg   	animals  	0	eagle     	13	eagle10     	139	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	108.2729702	108.37277890000001	0.0998086999998122
86286	100	8	stimuli\animals2\pigeon\animal_pigeon05.jpg      	1	1	1	animal_pigeon05.jpg  	animals2 	1	pigeon    	28	pigeon05    	284	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	108.423103	108.5227149	0.0996119000001272
86436	100	9	stimuli\nonmovArt\headphones\nma_headphones03.jpg	1	1	1	nma_headphones03.jpg 	nonmovArt	4	headphones	18	headphones03	182	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	108.57270600000001	108.672719	0.100013000000217
86586	100	10	stimuli\movArt\bus\ma_bus04.jpg                  	1	1	1	ma_bus04.jpg         	movArt   	2	bus       	3	bus04       	33	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	108.72280239999999	108.8227543	0.09995190000063302
86736	100	11	stimuli\movArt\helicopter\ma_helicopter03.jpg    	1	1	1	ma_helicopter03.jpg  	movArt   	2	helicopter	19	helicopter03	192	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	108.87280770000001	108.9727132	0.0999055000002044
86886	100	12	stimuli\movArt\boat\ma_boat06.jpg                	1	1	1	ma_boat06.jpg        	movArt   	2	boat      	2	boat06      	25	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	109.02280220000002	109.122722	0.0999197999999523
87036	100	13	stimuli\nonmovArt\bench\nma_bench09.jpg          	1	1	1	nma_bench09.jpg      	nonmovArt	4	bench     	1	bench09     	18	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	109.17279520000001	109.27274569999999	0.0999504999999771
87186	100	14	stimuli\nonmovArt\clothespeg\nma_clothespeg05.jpg	1	1	1	nma_clothespeg05.jpg 	nonmovArt	4	clothespeg	8	clothespeg05	84	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	109.32282260000001	109.4227149	0.0998922999997376
87336	100	15	stimuli\nonmovNat\crystal\nmn_crystal07.jpg      	1	1	1	nmn_crystal07.jpg    	nonmovNat	5	crystal   	10	crystal07   	106	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	109.47279340000001	109.5727156	0.0999222000000372
87486	100	16	stimuli\nonmovNat\crystal\nmn_crystal04.jpg      	1	1	1	nmn_crystal04.jpg    	nonmovNat	5	crystal   	10	crystal04   	103	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	109.6227918	109.7227368	0.0999450000008437
87636	100	17	stimuli\nonmovNat\rock\nmn_rock05.jpg            	1	1	1	nmn_rock05.jpg       	nonmovNat	5	rock      	30	rock05      	304	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	109.77281509999999	109.8727072	0.0998921000000336
87786	100	18	stimuli\plant\grass\plant_grass01.jpg            	1	1	1	plant_grass01.jpg    	plant    	6	grass     	17	grass01     	170	alive    	1	still	0	natural 	1	n	1	0    	 	0.0	0	109.9228111	110.02283149999901	0.10002039999926599
87936	100	19	stimuli\nonmovNat\sand\nmn_sand02.jpg            	1	1	1	nmn_sand02.jpg       	nonmovNat	5	sand      	31	sand02      	311	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	110.0729702	110.1728375	0.0998673000003691
88086	100	20	stimuli\movNat\hotspring\mn_hotspring04.jpg      	1	1	1	mn_hotspring04.jpg   	movNat   	3	hotspring 	21	hotspring04 	213	not_alive	0	moves	1	natural 	1	n	0	1    	f	0.40007839999998396	1	110.2227997	110.32270259999999	0.0999028999995062
88236	100	21	stimuli\movNat\fire\mn_fire02.jpg                	1	1	1	mn_fire02.jpg        	movNat   	3	fire      	15	fire02      	151	not_alive	0	moves	1	natural 	1	n	1	0    	 	0.0	0	110.3727957	110.4727338	0.0999381000001449
88386	100	22	stimuli\plant2\clover\plant_clover10.jpg         	1	1	1	plant_clover10.jpg   	plant2   	7	clover    	9	clover10    	99	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	110.5227903	110.6227152	0.0999249000005875
88536	100	23	stimuli\nonmovArt\mug\nma_mug06.jpg              	1	1	1	nma_mug06.jpg        	nonmovArt	4	mug       	26	mug06       	265	not_alive	0	still	0	artefact	0	n	0	1    	f	0.4000873999993929	1	110.6727753	110.7727051	0.0999298000006092
88686	100	24	stimuli\plant2\clover\plant_clover10.jpg         	1	1	1	plant_clover10.jpg   	plant2   	7	clover    	9	clover10    	99	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	110.8227706	110.9227111	0.0999405000002298
88836	100	25	stimuli\movArt\train\ma_train09.jpg              	1	1	1	ma_train09.jpg       	movArt   	2	train     	34	train09     	348	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	110.97279440000001	111.0726998	0.0999054000003525
88986	100	26	stimuli\nonmovArt\lock\nma_lock03.jpg            	1	1	1	nma_lock03.jpg       	nonmovArt	4	lock      	24	lock03      	242	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	111.1227835	111.2227313	0.0999478000003364
89136	100	27	stimuli\plant\flower\plant_flower04.jpg          	1	1	1	plant_flower04.jpg   	plant    	6	flower    	16	flower04    	163	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	111.27281859999901	111.3727129	0.0998943000004146
89286	100	28	stimuli\nonmovArt\lock\nma_lock07.jpg            	1	1	1	nma_lock07.jpg       	nonmovArt	4	lock      	24	lock07      	246	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	111.42277990000001	111.52269709999999	0.0999172000001635
89436	100	29	stimuli\plant\cactus\plant_cactus03.jpg          	1	1	1	plant_cactus03.jpg   	plant    	6	cactus    	4	cactus03    	42	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	111.5727814	111.672696	0.0999145999994652
89586	100	30	stimuli\plant\vine\plant_vine04.jpg              	1	1	1	plant_vine04.jpg     	plant    	6	vine      	36	vine04      	363	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	111.72281299999999	111.8227912	0.0999781999998958
89736	100	31	stimuli\nonmovArt\bench\nma_bench08.jpg          	1	1	1	nma_bench08.jpg      	nonmovArt	4	bench     	1	bench08     	17	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	111.8729716	111.972726	0.0997544000001653
89886	100	32	stimuli\animals2\lemur\animal_lemur08.jpg        	1	1	1	animal_lemur08.jpg   	animals2 	1	lemur     	23	lemur08     	237	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	112.0227871	112.1226924	0.0999053000005005
90036	100	33	stimuli\animals2\tiger\animal_tiger02.jpg        	1	1	1	animal_tiger02.jpg   	animals2 	1	tiger     	33	tiger02     	331	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	112.1728017	112.27268729999999	0.0998856000005616
90186	100	34	stimuli\animals\cat\animal_cat04.jpg             	1	1	1	animal_cat04.jpg     	animals  	0	cat       	6	cat04       	63	alive    	1	moves	1	natural 	1	n	1	0    	 	0.0	0	112.3227803	112.42269250000001	0.0999122000002898
