onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
65372	100	0	stimuli\animals\horse\animal_horse03.jpg         	1	1	1	animal_horse03.jpg   	animals  	0	horse     	20	horse03     	202	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	47.9571594999943	48.0570503999988	0.0998909000045387
65522	100	1	stimuli\nonmovNat\rock\nmn_rock05.jpg            	1	1	1	nmn_rock05.jpg       	nonmovNat	5	rock      	30	rock05      	304	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	48.1071764999942	48.2070405999984	0.0998641000041971
65672	100	2	stimuli\nonmovArt\lock\nma_lock02.jpg            	1	1	1	nma_lock02.jpg       	nonmovArt	4	lock      	24	lock02      	241	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	48.2571267999956	48.3570460999981	0.0999193000025116
65822	100	3	stimuli\movNat\fire\mn_fire08.jpg                	1	1	1	mn_fire08.jpg        	movNat   	3	fire      	15	fire08      	157	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	48.407144099997794	48.50705229999579	0.0999081999980262
65972	100	4	stimuli\animals2\bee\animal_bee02.jpg            	1	1	1	animal_bee02.jpg     	animals2 	1	bee       	0	bee02       	1	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	48.557127	48.657027799999895	0.0999007999998866
66122	100	5	stimuli\animals\horse\animal_horse07.jpg         	1	1	1	animal_horse07.jpg   	animals  	0	horse     	20	horse07     	206	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	48.707167000000496	48.8070313999997	0.0998643999992054
66272	100	6	stimuli\animals\dolphin\animal_dolphin08.jpg     	1	1	1	animal_dolphin08.jpg 	animals  	0	dolphin   	12	dolphin08   	127	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	48.8571431999953	48.9570523000002	0.0999091000048792
66422	100	7	stimuli\movNat\waterfall\mn_waterfall09.jpg      	1	1	1	mn_waterfall09.jpg   	movNat   	3	waterfall 	37	waterfall09 	378	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	49.00715259999561	49.10704199999601	0.0998894000003929
66573	100	8	stimuli\movArt\helicopter\ma_helicopter04.jpg    	1	1	1	ma_helicopter04.jpg  	movArt   	2	helicopter	19	helicopter04	193	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	49.157526899995005	49.2570761999959	0.0995493000009446
66722	100	9	stimuli\plant2\lemontree\plant_lemontree05.jpg   	1	1	1	plant_lemontree05.jpg	plant2   	7	lemontree 	22	lemontree05 	224	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	49.3071383999995	49.407044699997606	0.0999062999981106
66872	100	10	stimuli\animals2\bee\animal_bee03.jpg            	1	1	1	animal_bee03.jpg     	animals2 	1	bee       	0	bee03       	2	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	49.4571324999997	49.557029299998206	0.0998967999985325
67022	100	11	stimuli\nonmovNat\rock\nmn_rock10.jpg            	1	1	1	nmn_rock10.jpg       	nonmovNat	5	rock      	30	rock10      	309	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	49.607118199994105	49.7070280999978	0.0999099000036949
67172	100	12	stimuli\plant2\lemontree\plant_lemontree01.jpg   	1	1	1	plant_lemontree01.jpg	plant2   	7	lemontree 	22	lemontree01 	220	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	49.7571233999988	49.857037399997395	0.0999139999985345
67322	100	13	stimuli\nonmovArt\headphones\nma_headphones08.jpg	1	1	1	nma_headphones08.jpg 	nonmovArt	4	headphones	18	headphones08	187	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	49.90712239999989	50.007010499997705	0.09988809999777
67472	100	14	stimuli\plant\tree\plant_tree06.jpg              	1	1	1	plant_tree06.jpg     	plant    	6	tree      	35	tree06      	355	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	50.0571264999962	50.157014599994	0.09988809999777
67622	100	15	stimuli\movNat\river\mn_river03.jpg              	1	1	1	mn_river03.jpg       	movNat   	3	river     	29	river03     	292	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	50.2071193999946	50.307022399996605	0.0999030000020866
67772	100	16	stimuli\nonmovNat\shell\nmn_shell10.jpg          	1	1	1	nmn_shell10.jpg      	nonmovNat	5	shell     	32	shell10     	329	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	50.3571159999992	50.4570127999978	0.0998967999985325
67922	100	17	stimuli\movArt\boat\ma_boat03.jpg                	1	1	1	ma_boat03.jpg        	movArt   	2	boat      	2	boat03      	22	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	50.507143700000604	50.6070080999998	0.0998643999992054
68072	100	18	stimuli\plant\tree\plant_tree06.jpg              	1	1	1	plant_tree06.jpg     	plant    	6	tree      	35	tree06      	355	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	50.6571442999994	50.7570070999936	0.0998627999942982
68222	100	19	stimuli\plant\cactus\plant_cactus08.jpg          	1	1	1	plant_cactus08.jpg   	plant    	6	cactus    	4	cactus08    	47	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	50.8071353999985	50.9070307000002	0.0998953000016626
68372	100	20	stimuli\animals\dolphin\animal_dolphin08.jpg     	1	1	1	animal_dolphin08.jpg 	animals  	0	dolphin   	12	dolphin08   	127	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	50.957114999997394	51.0570097999953	0.0998947999978554
68522	100	21	stimuli\plant2\palmtree\plant_palmtree04.jpg     	1	1	1	plant_palmtree04.jpg 	plant2   	7	palmtree  	27	palmtree04  	273	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	51.1070955999967	51.2070116999967	0.09991609999997302
