onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
45743	100	0	stimuli\movArt\car\ma_car06.jpg                  	1	1	1	ma_car06.jpg         	movArt   	2	car       	5	car06       	55	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	69.16003450006251	69.25992500002029	0.0998904999578371
45893	100	1	stimuli\plant\grass\plant_grass03.jpg            	1	1	1	plant_grass03.jpg    	plant    	6	grass     	17	grass03     	172	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	69.31004230002871	69.40994050004521	0.0998982000164687
46043	100	2	stimuli\nonmovNat\sand\nmn_sand02.jpg            	1	1	1	nmn_sand02.jpg       	nonmovNat	5	sand      	31	sand02      	311	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	69.4600175999804	69.5599230000516	0.0999054000712931
46193	100	3	stimuli\animals2\whale\animal_whale04.jpg        	1	1	1	animal_whale04.jpg   	animals2 	1	whale     	39	whale04     	393	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	69.6100373000372	69.7099430999951	0.0999057999579236
46343	100	4	stimuli\nonmovArt\clothespeg\nma_clothespeg01.jpg	1	1	1	nma_clothespeg01.jpg 	nonmovArt	4	clothespeg	8	clothespeg01	80	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	69.7600252999691	69.85991150001061	0.0998862000415101
46493	100	5	stimuli\movArt\train\ma_train04.jpg              	1	1	1	ma_train04.jpg       	movArt   	2	train     	34	train04     	343	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	69.9100222999696	70.0099244000157	0.0999021000461652
46643	100	6	stimuli\movNat\river\mn_river10.jpg              	1	1	1	mn_river10.jpg       	movNat   	3	river     	29	river10     	299	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	70.06001790007579	70.1599310999736	0.0999131998978555
46793	100	7	stimuli\plant2\palmtree\plant_palmtree08.jpg     	1	1	1	plant_palmtree08.jpg 	plant2   	7	palmtree  	27	palmtree08  	277	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	70.2100173999788	70.3099206000334	0.0999032000545412
46943	100	8	stimuli\plant2\palmtree\plant_palmtree02.jpg     	1	1	1	plant_palmtree02.jpg 	plant2   	7	palmtree  	27	palmtree02  	271	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	70.3603402000153	70.45993270003241	0.0995925000170245
47093	100	9	stimuli\movArt\bus\ma_bus05.jpg                  	1	1	1	ma_bus05.jpg         	movArt   	2	bus       	3	bus05       	34	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	70.5101026999764	70.60992329998409	0.0998206000076606
47243	100	10	stimuli\animals\cat\animal_cat08.jpg             	1	1	1	animal_cat08.jpg     	animals  	0	cat       	6	cat08       	67	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	70.65997570008041	70.75990529998671	0.0999295999063178
47393	100	11	stimuli\plant2\clover\plant_clover03.jpg         	1	1	1	plant_clover03.jpg   	plant2   	7	clover    	9	clover03    	92	alive    	1	still	0	natural 	1	n	1	0    	 	0.0	0	70.8100118000293	70.9099171999842	0.0999053999548778
47543	100	12	stimuli\nonmovNat\cliff\nmn_cliff10.jpg          	1	1	1	nmn_cliff10.jpg      	nonmovNat	5	cliff     	7	cliff10     	79	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	70.95999460003809	71.059915699996	0.09992109995801
47693	100	13	stimuli\plant2\moss\plant_moss04.jpg             	1	1	1	plant_moss04.jpg     	plant2   	7	moss      	25	moss04      	253	alive    	1	still	0	natural 	1	n	0	1    	f	0.400098899961449	1	71.1100100000622	71.2099226000719	0.0999126000097021
47843	100	14	stimuli\animals2\pigeon\animal_pigeon06.jpg      	1	1	1	animal_pigeon06.jpg  	animals2 	1	pigeon    	28	pigeon06    	285	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	71.25998630002141	71.3599195000716	0.0999332000501454
47993	100	15	stimuli\nonmovNat\rock\nmn_rock03.jpg            	1	1	1	nmn_rock03.jpg       	nonmovNat	5	rock      	30	rock03      	302	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	71.4100028000539	71.5099136000499	0.099910799995996
48143	100	16	stimuli\plant2\lemontree\plant_lemontree10.jpg   	1	1	1	plant_lemontree10.jpg	plant2   	7	lemontree 	22	lemontree10 	229	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	71.55999750003679	71.6599156999728	0.099918199935928
48293	100	17	stimuli\animals2\tiger\animal_tiger07.jpg        	1	1	1	animal_tiger07.jpg   	animals2 	1	tiger     	33	tiger07     	336	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	71.7100179999834	71.80993560003121	0.0999176000477746
48443	100	18	stimuli\animals2\whale\animal_whale01.jpg        	1	1	1	animal_whale01.jpg   	animals2 	1	whale     	39	whale01     	390	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	71.8599868000019	71.9599105999805	0.0999237999785691
48593	100	19	stimuli\nonmovArt\lock\nma_lock06.jpg            	1	1	1	nma_lock06.jpg       	nonmovArt	4	lock      	24	lock06      	245	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	72.0100272999844	72.1099959000712	0.0999686000868678
