onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
49713	100	0	stimuli\plant2\clover\plant_clover07.jpg         	1	1	1	plant_clover07.jpg   	plant2   	7	clover    	9	clover07    	96	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	80.2289762999862	80.32887389999809	0.0998976000119
49863	100	1	stimuli\movArt\car\ma_car04.jpg                  	1	1	1	ma_car04.jpg         	movArt   	2	car       	5	car04       	53	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	80.37901320005771	80.4788804000709	0.0998672000132501
50013	100	2	stimuli\movArt\helicopter\ma_helicopter02.jpg    	1	1	1	ma_helicopter02.jpg  	movArt   	2	helicopter	19	helicopter02	191	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	80.5289512999589	80.6288913000608	0.0999400001019239
50163	100	3	stimuli\nonmovArt\bench\nma_bench10.jpg          	1	1	1	nma_bench10.jpg      	nonmovArt	4	bench     	1	bench10     	19	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	80.6789449000498	80.7788822000148	0.0999372999649494
50313	100	4	stimuli\movArt\helicopter\ma_helicopter04.jpg    	1	1	1	ma_helicopter04.jpg  	movArt   	2	helicopter	19	helicopter04	193	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	80.82896720001008	80.9288687000517	0.0999015000415966
50463	100	5	stimuli\animals\cat\animal_cat08.jpg             	1	1	1	animal_cat08.jpg     	animals  	0	cat       	6	cat08       	67	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	80.9789700000547	81.07887840003241	0.0999083999777212
50613	100	6	stimuli\nonmovNat\rock\nmn_rock04.jpg            	1	1	1	nmn_rock04.jpg       	nonmovNat	5	rock      	30	rock04      	303	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	81.1289527000627	81.22887620003891	0.0999234999762848
50763	100	7	stimuli\movNat\fire\mn_fire09.jpg                	1	1	1	mn_fire09.jpg        	movNat   	3	fire      	15	fire09      	158	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	81.2789550999878	81.37885470001491	0.099899600027129
50913	100	8	stimuli\nonmovNat\crystal\nmn_crystal07.jpg      	1	1	1	nmn_crystal07.jpg    	nonmovNat	5	crystal   	10	crystal07   	106	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	81.4293265000451	81.52889700001109	0.09957049996592099
51063	100	9	stimuli\animals\dog\animal_dog10.jpg             	1	1	1	animal_dog10.jpg     	animals  	0	dog       	11	dog10       	119	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	81.57894240005409	81.6788590999786	0.0999166999245062
