onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
94672	100	0	stimuli\plant2\lemontree\plant_lemontree08.jpg   	1	1	1	plant_lemontree08.jpg	plant2   	7	lemontree 	22	lemontree08 	227	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	54.8879680999998	54.98786820000171	0.0999001000018324
94822	100	1	stimuli\animals\cat\animal_cat09.jpg             	1	1	1	animal_cat09.jpg     	animals  	0	cat       	6	cat09       	68	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	55.0379743000012	55.13785130000179	0.0998770000005606
94972	100	2	stimuli\movNat\river\mn_river10.jpg              	1	1	1	mn_river10.jpg       	movNat   	3	river     	29	river10     	299	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	55.1879532000021	55.2878549000015	0.0999016999994637
95122	100	3	stimuli\animals2\tiger\animal_tiger05.jpg        	1	1	1	animal_tiger05.jpg   	animals2 	1	tiger     	33	tiger05     	334	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	55.337957300002	55.43785260000001	0.0998952999980247
95272	100	4	stimuli\animals\dog\animal_dog08.jpg             	1	1	1	animal_dog08.jpg     	animals  	0	dog       	11	dog08       	117	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	55.487949599999396	55.587855400001004	0.0999058000015793
95422	100	5	stimuli\nonmovArt\lock\nma_lock04.jpg            	1	1	1	nma_lock04.jpg       	nonmovArt	4	lock      	24	lock04      	243	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	55.63794509999929	55.7378449999996	0.0998999000003095
95572	100	6	stimuli\animals\horse\animal_horse08.jpg         	1	1	1	animal_horse08.jpg   	animals  	0	horse     	20	horse08     	207	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	55.7879619000014	55.887842399999506	0.0998804999981075
95722	100	7	stimuli\movArt\boat\ma_boat06.jpg                	1	1	1	ma_boat06.jpg        	movArt   	2	boat      	2	boat06      	25	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	55.9379405	56.0378702000016	0.0999297000016668
95873	100	8	stimuli\animals2\lemur\animal_lemur04.jpg        	1	1	1	animal_lemur04.jpg   	animals2 	1	lemur     	23	lemur04     	233	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	56.0883266000019	56.1879389999995	0.099612399997568
96022	100	9	stimuli\movNat\waterfall\mn_waterfall05.jpg      	1	1	1	mn_waterfall05.jpg   	movNat   	3	waterfall 	37	waterfall05 	374	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	56.23794560000171	56.33784060000111	0.0998949999993783
96172	100	10	stimuli\plant2\clover\plant_clover07.jpg         	1	1	1	plant_clover07.jpg   	plant2   	7	clover    	9	clover07    	96	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	56.387937800002	56.487844300001605	0.0999064999996335
96322	100	11	stimuli\movArt\bus\ma_bus02.jpg                  	1	1	1	ma_bus02.jpg         	movArt   	2	bus       	3	bus02       	31	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	56.53793919999951	56.6378503000014	0.0999111000019183
96472	100	12	stimuli\nonmovArt\clothespeg\nma_clothespeg10.jpg	1	1	1	nma_clothespeg10.jpg 	nonmovArt	4	clothespeg	8	clothespeg10	89	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	56.6879286000003	56.7878349999992	0.099906399998872
96622	100	13	stimuli\animals2\pigeon\animal_pigeon07.jpg      	1	1	1	animal_pigeon07.jpg  	animals2 	1	pigeon    	28	pigeon07    	286	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	56.8378548000001	56.9378776000012	0.10002280000117
96772	100	14	stimuli\nonmovArt\mug\nma_mug04.jpg              	1	1	1	nma_mug04.jpg        	nonmovArt	4	mug       	26	mug04       	263	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	56.987960900001795	57.087869200000604	0.0999082999987877
96921	100	15	stimuli\plant\vine\plant_vine10.jpg              	1	1	1	plant_vine10.jpg     	plant    	6	vine      	36	vine10      	369	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	57.1370735000019	57.2370570999992	0.0999835999973584
97071	100	16	stimuli\movNat\river\mn_river02.jpg              	1	1	1	mn_river02.jpg       	movNat   	3	river     	29	river02     	291	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	57.2870710999996	57.387065499999196	0.0999943999995594
97221	100	17	stimuli\animals\dolphin\animal_dolphin08.jpg     	1	1	1	animal_dolphin08.jpg 	animals  	0	dolphin   	12	dolphin08   	127	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	57.437066500002395	57.5370573	0.099990799997613
97371	100	18	stimuli\movArt\bus\ma_bus02.jpg                  	1	1	1	ma_bus02.jpg         	movArt   	2	bus       	3	bus02       	31	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	57.587068100001495	57.6870500000005	0.0999818999989656
97521	100	19	stimuli\plant2\fern\plant_fern10.jpg             	1	1	1	plant_fern10.jpg     	plant2   	7	fern      	14	fern10      	149	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	57.7370613999992	57.8370491000023	0.0999877000031119
97671	100	20	stimuli\nonmovArt\headphones\nma_headphones03.jpg	1	1	1	nma_headphones03.jpg 	nonmovArt	4	headphones	18	headphones03	182	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	57.8870639000015	57.9870437999998	0.0999798999982886
97821	100	21	stimuli\plant2\fern\plant_fern03.jpg             	1	1	1	plant_fern03.jpg     	plant2   	7	fern      	14	fern03      	142	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	58.0370834999994	58.1370510000015	0.0999675000020943
97971	100	22	stimuli\nonmovArt\headphones\nma_headphones10.jpg	1	1	1	nma_headphones10.jpg 	nonmovArt	4	headphones	18	headphones10	189	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	58.18705939999929	58.287051200000896	0.0999918000015895
98121	100	23	stimuli\nonmovNat\rock\nmn_rock08.jpg            	1	1	1	nmn_rock08.jpg       	nonmovNat	5	rock      	30	rock08      	307	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	58.3370590000013	58.4370488999994	0.0999898999980359
