onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
63951	100	0	stimuli\plant2\moss\plant_moss05.jpg             	1	1	1	plant_moss05.jpg     	plant2   	7	moss      	25	moss05      	254	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	77.7422213000246	77.84220080031079	0.0999795002862811
64101	100	1	stimuli\plant2\fern\plant_fern02.jpg             	1	1	1	plant_fern02.jpg     	plant2   	7	fern      	14	fern02      	141	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	77.8921917001717	77.99220099998641	0.10000929981470098
64251	100	2	stimuli\animals2\bee\animal_bee07.jpg            	1	1	1	animal_bee07.jpg     	animals2 	1	bee       	0	bee07       	6	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	78.0422173002735	78.1422037999146	0.0999864996410906
64401	100	3	stimuli\animals\dog\animal_dog10.jpg             	1	1	1	animal_dog10.jpg     	animals  	0	dog       	11	dog10       	119	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	78.1922079003416	78.2922042002901	0.0999962999485433
64551	100	4	stimuli\nonmovNat\cliff\nmn_cliff08.jpg          	1	1	1	nmn_cliff08.jpg      	nonmovNat	5	cliff     	7	cliff08     	77	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	78.3422052999958	78.4421999999322	0.0999946999363601
64701	100	5	stimuli\nonmovArt\bench\nma_bench03.jpg          	1	1	1	nma_bench03.jpg      	nonmovArt	4	bench     	1	bench03     	12	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	78.4922104002908	78.59219310013579	0.0999826998449862
64851	100	6	stimuli\nonmovArt\bench\nma_bench05.jpg          	1	1	1	nma_bench05.jpg      	nonmovArt	4	bench     	1	bench05     	14	not_alive	0	still	0	artefact	0	n	0	0    	 	0.0	0	78.6422092001885	78.74219299992549	0.0999837997369468
65001	100	7	stimuli\movNat\hotspring\mn_hotspring06.jpg      	1	1	1	mn_hotspring06.jpg   	movNat   	3	hotspring 	21	hotspring06 	215	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	78.7922058003023	78.8921909001656	0.0999850998632609
65151	100	8	stimuli\plant2\lemontree\plant_lemontree02.jpg   	1	1	1	plant_lemontree02.jpg	plant2   	7	lemontree 	22	lemontree02 	221	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	78.94253040011971	79.0421919999644	0.0996615998446941
65301	100	9	stimuli\nonmovNat\rock\nmn_rock04.jpg            	1	1	1	nmn_rock04.jpg       	nonmovNat	5	rock      	30	rock04      	303	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	79.0922010000795	79.1921863001771	0.0999853000976145
65451	100	10	stimuli\movNat\waves\mn_waves01.jpg              	1	1	1	mn_waves01.jpg       	movNat   	3	waves     	38	waves01     	380	not_alive	0	moves	1	natural 	1	n	1	0    	 	0.0	0	79.2421961002983	79.3421889999881	0.0999928996898234
65601	100	11	stimuli\animals\cat\animal_cat01.jpg             	1	1	1	animal_cat01.jpg     	animals  	0	cat       	6	cat01       	60	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	79.3921958999708	79.49218170018871	0.0999858002178371
65751	100	12	stimuli\movArt\bus\ma_bus05.jpg                  	1	1	1	ma_bus05.jpg         	movArt   	2	bus       	3	bus05       	34	not_alive	0	moves	1	artefact	0	n	0	1    	f	0.292144799605012	1	79.5421970002353	79.6421819003299	0.0999849000945687
65901	100	13	stimuli\movArt\train\ma_train04.jpg              	1	1	1	ma_train04.jpg       	movArt   	2	train     	34	train04     	343	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	79.69219240034	79.7921794001013	0.0999869997613132
66051	100	14	stimuli\movArt\car\ma_car04.jpg                  	1	1	1	ma_car04.jpg         	movArt   	2	car       	5	car04       	53	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	79.8421917003579	79.9421785003506	0.0999867999926209
66201	100	15	stimuli\movNat\waterfall\mn_waterfall10.jpg      	1	1	1	mn_waterfall10.jpg   	movNat   	3	waterfall 	37	waterfall10 	379	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	79.9921905002557	80.0921783000231	0.0999877997674048
66351	100	16	stimuli\animals\horse\animal_horse07.jpg         	1	1	1	animal_horse07.jpg   	animals  	0	horse     	20	horse07     	206	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	80.1421896000393	80.24217690015209	0.0999873001128435
66501	100	17	stimuli\animals2\lemur\animal_lemur10.jpg        	1	1	1	animal_lemur10.jpg   	animals2 	1	lemur     	23	lemur10     	239	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	80.29218550026421	80.39217470027509	0.0999892000108957
66651	100	18	stimuli\plant2\clover\plant_clover10.jpg         	1	1	1	plant_clover10.jpg   	plant2   	7	clover    	9	clover10    	99	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	80.44218640029429	80.54217249993229	0.0999860996380448
66801	100	19	stimuli\plant2\lemontree\plant_lemontree08.jpg   	1	1	1	plant_lemontree08.jpg	plant2   	7	lemontree 	22	lemontree08 	227	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	80.5921807000413	80.69214519998059	0.09996449993923301
66951	100	20	stimuli\plant2\palmtree\plant_palmtree06.jpg     	1	1	1	plant_palmtree06.jpg 	plant2   	7	palmtree  	27	palmtree06  	275	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	80.74214680027221	80.8421340002678	0.0999871999956667
67101	100	21	stimuli\nonmovNat\shell\nmn_shell03.jpg          	1	1	1	nmn_shell03.jpg      	nonmovNat	5	shell     	32	shell03     	322	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	80.89215179998429	80.9921412002295	0.0999894002452492
67251	100	22	stimuli\movNat\waves\mn_waves06.jpg              	1	1	1	mn_waves06.jpg       	movNat   	3	waves     	38	waves06     	385	not_alive	0	moves	1	natural 	1	n	0	0    	 	0.0	0	81.0421442002989	81.1421944000758	0.100050199776888
