onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_moves	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
85976	100	0	stimuli\plant\tree\plant_tree07.jpg              	1	1	1	plant_tree07.jpg     	plant    	6	tree      	35	tree07      	356	alive    	1	still	0	natural 	1	n	0	0    	 	0.0	0	112.87487340000001	112.9747558	0.0998824
86126	100	1	stimuli\animals\cat\animal_cat05.jpg             	1	1	1	animal_cat05.jpg     	animals  	0	cat       	6	cat05       	64	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	113.0248754	113.1247455	0.0998701
86276	100	2	stimuli\movArt\bus\ma_bus05.jpg                  	1	1	1	ma_bus05.jpg         	movArt   	2	bus       	3	bus05       	34	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	113.1748207	113.27473729999998	0.09991660000000001
86426	100	3	stimuli\nonmovNat\sand\nmn_sand02.jpg            	1	1	1	nmn_sand02.jpg       	nonmovNat	5	sand      	31	sand02      	311	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	113.32483329999998	113.4247393	0.099906
86576	100	4	stimuli\animals2\lemur\animal_lemur10.jpg        	1	1	1	animal_lemur10.jpg   	animals2 	1	lemur     	23	lemur10     	239	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	113.47482749999999	113.5747322	0.0999047
86726	100	5	stimuli\animals\dog\animal_dog10.jpg             	1	1	1	animal_dog10.jpg     	animals  	0	dog       	11	dog10       	119	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	113.62483929999999	113.72473190000001	0.0998926
86876	100	6	stimuli\animals2\bee\animal_bee01.jpg            	1	1	1	animal_bee01.jpg     	animals2 	1	bee       	0	bee01       	0	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	113.7748409	113.8747328	0.0998918999999999
87026	100	7	stimuli\movArt\car\ma_car06.jpg                  	1	1	1	ma_car06.jpg         	movArt   	2	car       	5	car06       	55	not_alive	0	moves	1	artefact	0	n	0	0    	 	0.0	0	113.9248338	114.0247723	0.0999385
87176	100	8	stimuli\animals\dolphin\animal_dolphin07.jpg     	1	1	1	animal_dolphin07.jpg 	animals  	0	dolphin   	12	dolphin07   	126	alive    	1	moves	1	natural 	1	n	0	0    	 	0.0	0	114.075272	114.1747375	0.0994655
87326	100	9	stimuli\nonmovNat\crystal\nmn_crystal08.jpg      	1	1	1	nmn_crystal08.jpg    	nonmovNat	5	crystal   	10	crystal08   	107	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	114.22483500000001	114.32472759999999	0.0998926
87476	100	10	stimuli\nonmovNat\rock\nmn_rock03.jpg            	1	1	1	nmn_rock03.jpg       	nonmovNat	5	rock      	30	rock03      	302	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	114.37482	114.4747237	0.0999037
87626	100	11	stimuli\nonmovNat\shell\nmn_shell06.jpg          	1	1	1	nmn_shell06.jpg      	nonmovNat	5	shell     	32	shell06     	325	not_alive	0	still	0	natural 	1	n	0	0    	 	0.0	0	114.52482739999999	114.6247175	0.09989010000000001
